Time Ch1 Ch2	
-2.152E-4	0.24000	-0.02400
-2.148E-4	0.21000	-0.01600
-2.144E-4	0.23000	-0.03600
-2.140E-4	0.23000	-0.02000
-2.136E-4	0.22000	-0.01200
-2.132E-4	0.22000	-0.02800
-2.128E-4	0.24000	-0.01600
-2.124E-4	0.21000	-0.00400
-2.120E-4	0.23000	-0.01600
-2.116E-4	0.21000	-0.01600
-2.112E-4	0.24000	-0.03600
-2.108E-4	0.25000	-0.03200
-2.104E-4	0.21000	-0.01600
-2.100E-4	0.24000	-0.00800
-2.096E-4	0.23000	0.00000
-2.092E-4	0.21000	-0.00800
-2.088E-4	0.24000	-0.00400
-2.084E-4	0.23000	-0.00800
-2.080E-4	0.21000	-0.02800
-2.076E-4	0.24000	-0.02000
-2.072E-4	0.24000	-0.02800
-2.068E-4	0.24000	-0.02800
-2.064E-4	0.23000	-0.02800
-2.060E-4	0.25000	-0.01200
-2.056E-4	0.23000	-0.00400
-2.052E-4	0.24000	-0.01600
-2.048E-4	0.23000	-0.00800
-2.044E-4	0.23000	-0.02400
-2.040E-4	0.24000	-0.02400
-2.036E-4	0.24000	-0.01600
-2.032E-4	0.21000	-0.02800
-2.028E-4	0.22000	-0.03600
-2.024E-4	0.24000	-0.03600
-2.020E-4	0.22000	-0.03200
-2.016E-4	0.24000	-0.03200
-2.012E-4	0.23000	-0.03200
-2.008E-4	0.24000	-0.03200
-2.004E-4	0.23000	-0.03200
-2.000E-4	0.23000	-0.02800
-1.996E-4	0.25000	-0.01200
-1.992E-4	0.21000	-0.02000
-1.988E-4	0.24000	-0.02800
-1.984E-4	0.24000	-0.03600
-1.980E-4	0.24000	-0.02400
-1.976E-4	0.22000	-0.01600
-1.972E-4	0.23000	-0.01200
-1.968E-4	0.22000	0.00800
-1.964E-4	0.22000	-0.01200
-1.960E-4	0.24000	-0.02400
-1.956E-4	0.24000	-0.01600
-1.952E-4	0.23000	-0.03200
-1.948E-4	0.23000	-0.04000
-1.944E-4	0.23000	-0.05200
-1.940E-4	0.24000	-0.05600
-1.936E-4	0.22000	-0.04800
-1.932E-4	0.22000	-0.04400
-1.928E-4	0.22000	-0.02400
-1.924E-4	0.21000	-0.01600
-1.920E-4	0.24000	-0.01600
-1.916E-4	0.24000	-0.03200
-1.912E-4	0.23000	-0.02000
-1.908E-4	0.21000	-0.03600
